stratum,contrast,covariate,smd_raw_unweighted,smd_raw_weighted,smd_adjusted_unweighted,smd_adjusted_weighted,n_hi,n_lo,n_adjusted
lag_infrequent,freq_vs_never,smoke_now_tv,-0.1815,-0.1416,-0.0549,-0.0092,1465,1028,2493
lag_infrequent,freq_vs_never,cesd_w,-0.4368,-0.2484,-0.2694,-0.0612,1465,1028,2493
lag_infrequent,freq_vs_never,poor_sight_tv,-0.2278,-0.1862,-0.0524,0.0015,1465,1028,2493
lag_infrequent,freq_vs_never,poor_hear_tv,-0.2798,-0.2368,-0.0781,-0.0305,1465,1028,2493
lag_infrequent,infreq_vs_never,any_mobil_tv,-0.2991,-0.2450,-0.1142,-0.0363,6484,1028,7512
lag_infrequent,infreq_vs_never,any_adl_tv,-0.2497,-0.1872,-0.0740,0.0045,6484,1028,7512
lag_infrequent,infreq_vs_never,any_iadl_tv,-0.1289,-0.0980,-0.0417,0.0023,6484,1028,7512
lag_infrequent,infreq_vs_never,cog_tv,0.4295,0.3347,0.1617,0.0426,6484,1028,7512
lag_infrequent,infreq_vs_never,cancre,-0.1013,-0.0943,-0.0229,-0.0158,6484,1028,7512
lag_infrequent,infreq_vs_never,lunge,-0.1406,-0.1579,0.0120,0.0029,6484,1028,7512
lag_infrequent,infreq_vs_never,cvd_any_tv,-0.2018,-0.1858,-0.0226,0.0030,6484,1028,7512
lag_infrequent,infreq_vs_never,smoke_now_tv,-0.1396,-0.1156,-0.0281,-0.0024,6484,1028,7512
lag_infrequent,infreq_vs_never,cesd_w,-0.3204,-0.1987,-0.1895,-0.0525,6484,1028,7512
lag_infrequent,infreq_vs_never,poor_sight_tv,-0.1862,-0.1552,-0.0715,-0.0284,6484,1028,7512
lag_infrequent,infreq_vs_never,poor_hear_tv,-0.1515,-0.1478,0.0095,0.0191,6484,1028,7512
lag_frequent,freq_vs_never,any_mobil_tv,-0.7720,-0.6289,-0.3386,-0.1760,5220,97,5317
lag_frequent,freq_vs_never,any_adl_tv,-0.6967,-0.5571,-0.3906,-0.2308,5220,97,5317
lag_frequent,freq_vs_never,any_iadl_tv,-0.2410,-0.1392,-0.0570,0.0882,5220,97,5317
lag_frequent,freq_vs_never,cog_tv,0.8966,0.7692,0.3601,0.2153,5220,97,5317
lag_frequent,freq_vs_never,cancre,-0.1465,-0.1719,-0.0002,-0.0135,5220,97,5317
lag_frequent,freq_vs_never,lunge,-0.2812,-0.2665,-0.0808,-0.1013,5220,97,5317
lag_frequent,freq_vs_never,cvd_any_tv,-0.3652,-0.3407,-0.0310,0.0016,5220,97,5317
lag_frequent,freq_vs_never,smoke_now_tv,-0.3564,-0.3772,-0.1454,-0.1265,5220,97,5317
lag_frequent,freq_vs_never,cesd_w,-0.3972,-0.2387,-0.1352,0.0619,5220,97,5317
lag_frequent,freq_vs_never,poor_sight_tv,-0.3143,-0.2460,-0.0798,0.0067,5220,97,5317
lag_frequent,freq_vs_never,poor_hear_tv,-0.2382,-0.2107,0.0089,0.0634,5220,97,5317
lag_frequent,infreq_vs_never,any_mobil_tv,-0.5574,-0.4794,-0.2228,-0.1454,1648,97,1745
lag_frequent,infreq_vs_never,any_adl_tv,-0.5382,-0.4407,-0.2779,-0.1890,1648,97,1745
lag_frequent,infreq_vs_never,any_iadl_tv,-0.1780,-0.1048,-0.0527,0.0194,1648,97,1745
lag_frequent,infreq_vs_never,cog_tv,0.7001,0.6078,0.3537,0.2537,1648,97,1745
lag_frequent,infreq_vs_never,cancre,-0.1280,-0.1637,0.0269,0.0039,1648,97,1745
lag_frequent,infreq_vs_never,lunge,-0.2484,-0.2343,-0.0817,-0.1132,1648,97,1745
lag_frequent,infreq_vs_never,cvd_any_tv,-0.3343,-0.3119,-0.0839,-0.0531,1648,97,1745
lag_frequent,infreq_vs_never,smoke_now_tv,-0.2306,-0.2566,-0.0959,-0.0704,1648,97,1745
lag_frequent,infreq_vs_never,cesd_w,-0.2416,-0.1479,-0.0422,0.0698,1648,97,1745
lag_frequent,infreq_vs_never,poor_sight_tv,-0.2490,-0.1907,-0.1187,-0.0643,1648,97,1745
lag_frequent,infreq_vs_never,poor_hear_tv,-0.1754,-0.1810,0.0257,0.0222,1648,97,1745
