n_extra,rr_alloc,exposure,HR_median,HR_p2_5,HR_p97_5,n_reps,note
600,2.0,Frequent,0.593,0.548,0.650,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
600,3.0,Infrequent,0.722,0.680,0.777,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
600,3.0,Frequent,0.532,0.489,0.576,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
600,5.0,Infrequent,0.679,0.641,0.722,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
600,5.0,Frequent,0.463,0.429,0.503,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,0.5,Infrequent,0.856,0.809,0.905,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,0.5,Frequent,0.910,0.851,0.976,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,0.67,Infrequent,0.843,0.797,0.888,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,0.67,Frequent,0.836,0.772,0.905,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,1.0,Infrequent,0.822,0.786,0.870,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,1.0,Frequent,0.745,0.686,0.797,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,1.5,Infrequent,0.792,0.760,0.841,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,1.5,Frequent,0.656,0.606,0.722,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,2.0,Infrequent,0.768,0.729,0.815,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,2.0,Frequent,0.599,0.553,0.648,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,3.0,Infrequent,0.729,0.688,0.778,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,3.0,Frequent,0.524,0.484,0.573,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,5.0,Infrequent,0.682,0.644,0.723,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
800,5.0,Frequent,0.448,0.412,0.484,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,0.5,Infrequent,0.876,0.822,0.919,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,0.5,Frequent,0.942,0.870,1.011,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,0.67,Infrequent,0.861,0.805,0.912,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,0.67,Frequent,0.865,0.791,0.931,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,1.0,Infrequent,0.836,0.794,0.891,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,1.0,Frequent,0.761,0.714,0.823,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,1.5,Infrequent,0.802,0.752,0.849,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,1.5,Frequent,0.665,0.618,0.725,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,2.0,Infrequent,0.783,0.737,0.824,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,2.0,Frequent,0.605,0.551,0.653,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,3.0,Infrequent,0.737,0.702,0.785,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,3.0,Frequent,0.524,0.478,0.571,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,5.0,Infrequent,0.691,0.657,0.724,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
979,5.0,Frequent,0.448,0.413,0.482,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,0.5,Infrequent,0.881,0.836,0.936,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,0.5,Frequent,0.942,0.885,1.010,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,0.67,Infrequent,0.868,0.813,0.914,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,0.67,Frequent,0.869,0.809,0.927,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,1.0,Infrequent,0.838,0.790,0.885,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,1.0,Frequent,0.761,0.695,0.824,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,1.5,Infrequent,0.805,0.757,0.846,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,1.5,Frequent,0.665,0.620,0.716,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,2.0,Infrequent,0.778,0.742,0.823,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,2.0,Frequent,0.604,0.559,0.652,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,3.0,Infrequent,0.741,0.697,0.789,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,3.0,Frequent,0.525,0.483,0.562,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,5.0,Infrequent,0.695,0.655,0.732,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
1000,5.0,Frequent,0.447,0.413,0.485,200,deterministic grid; sim intervals over 200 reps with extras allocated by RR
