spec,HR,CI_low,CI_high,N,n_removed,terminal_total,known_alive_next,unknown_next,known_alive_pct,unknown_pct
MSM primary (full outcome sample),0.59,0.43,0.80,25262,0,4541,3196,1345,70.4,29.6
MSM unknown-status terminal intervals censored at last interview,0.58,0.42,0.79,23917,1345,4541,3196,1345,70.4,29.6
